poll_time,vehicle_id,trip_id,route_id,latitude,longitude,current_stop_sequence,stop_id,current_status,vehicle_timestamp
2026-09-19T00:06:43.179127+00:00,1505,1286001,051,38.50005340576172,-121.4365005493164,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2210,,,38.55290985107422,-121.42766571044922,,,,1789776376
2026-09-19T00:06:43.179127+00:00,2207,1285808,038,38.56778335571289,-121.46977996826172,,,,1789776379
2026-09-19T00:06:43.179127+00:00,1514,1287922,088,38.600154876708984,-121.50494384765625,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2206,1287178,081,38.49573516845703,-121.48380279541016,,,,1789776376
2026-09-19T00:06:43.179127+00:00,1512,1286212,056,38.47800064086914,-121.45170593261719,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2843,1286349,061,38.5,-121.43465423583984,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2205,1287236,081,38.5108528137207,-121.42760467529297,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2204,,,38.55170822143555,-121.45338439941406,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1510,1285558,030,38.572425842285156,-121.46550750732422,,,,1789776381
2026-09-19T00:06:43.179127+00:00,2203,1286000,051,38.49928665161133,-121.43075561523438,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2201,1286581,067,38.473262786865234,-121.42711639404297,,,,1789776378
2026-09-19T00:06:43.179127+00:00,1595,,,38.569915771484375,-121.47016143798828,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1519,1285594,030,38.5660285949707,-121.44001007080078,,,,1789776376
2026-09-19T00:06:43.179127+00:00,1518,1284928,019,38.68753433227539,-121.4306411743164,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1517,1287790,087,38.56453323364258,-121.42613983154297,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2847,,,38.647010803222656,-121.38311767578125,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1516,1284046,001,38.644466400146484,-121.36444091796875,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2209,1286720,068,38.51051712036133,-121.44297790527344,,,,1789776381
2026-09-19T00:06:43.179127+00:00,2208,1285011,021,38.678565979003906,-121.269287109375,,,,1789776379
2026-09-19T00:06:43.179127+00:00,1515,1285328,025,38.6175537109375,-121.36322784423828,,,,1789776376
2026-09-19T00:06:43.179127+00:00,2220,1285012,021,38.60906219482422,-121.29342651367188,,,,1789776378
2026-09-19T00:06:43.179127+00:00,2218,,,38.56923294067383,-121.47117614746094,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1525,1287238,081,38.567848205566406,-121.46944427490234,,,,1789776376
2026-09-19T00:06:43.179127+00:00,2217,,,38.40534973144531,-121.41292572021484,,,,1789776377
2026-09-19T00:06:43.179127+00:00,1524,1285582,030,38.579349517822266,-121.49009704589844,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2215,,,38.421661376953125,-121.40715789794922,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2853,,,38.56733322143555,-121.47008514404297,,,,1789776378
2026-09-19T00:06:43.179127+00:00,1521,1285810,038,38.56806945800781,-121.46939849853516,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1520,1285930,051,38.56484603881836,-121.50312042236328,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2213,1287415,082,38.65056610107422,-121.35070037841797,,,,1789776378
2026-09-19T00:06:43.179127+00:00,2850,1288183,103,38.49042510986328,-121.55044555664062,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2211,1288227,137,38.43726348876953,-121.40318298339844,,,,1789776379
2026-09-19T00:06:43.179127+00:00,1805,1285763,033,38.59528350830078,-121.48336029052734,,,,1789776291
2026-09-19T00:06:43.179127+00:00,1529,1285295,025,38.72267532348633,-121.28956604003906,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1528,1285144,023,38.610939025878906,-121.41502380371094,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1527,,,38.582252502441406,-121.50110626220703,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1526,,,38.546730041503906,-121.44064331054688,,,,1789776378
2026-09-19T00:06:43.179127+00:00,2857,1287097,078,38.56708908081055,-121.34603881835938,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2232,1286722,068,38.45479202270508,-121.4178466796875,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2231,,,38.569515228271484,-121.47093200683594,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1536,1285928,051,38.50691223144531,-121.43415832519531,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2227,,,38.565147399902344,-121.47159576416016,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2225,1285180,023,38.680824279785156,-121.27147674560547,,,,1789776380
2026-09-19T00:06:43.179127+00:00,1532,1286211,056,38.45335006713867,-121.41853332519531,,,,1789776379
2026-09-19T00:06:43.179127+00:00,2103,,,38.56807327270508,-121.46958923339844,,,,1789776377
2026-09-19T00:06:43.179127+00:00,1530,1286178,056,38.47366714477539,-121.42713165283203,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2223,1287413,082,38.581443786621094,-121.40338134765625,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2222,1285054,021,38.67753982543945,-121.27143859863281,,,,1789776380
2026-09-19T00:06:43.179127+00:00,2860,1287220,081,38.495880126953125,-121.4968490600586,,,,1789776381
2026-09-19T00:06:43.179127+00:00,1538,1287237,081,38.4987678527832,-121.53487396240234,,,,1789776379
2026-09-19T00:06:43.179127+00:00,1537,,,38.56767654418945,-121.46980285644531,,,,1789776378
2026-09-19T00:06:43.179127+00:00,1550,,,38.51028823852539,-121.48036193847656,,,,1789776377
2026-09-19T00:06:43.179127+00:00,2242,1284108,001,38.662193298339844,-121.34518432617188,,,,1789776381
2026-09-19T00:06:43.179127+00:00,2880,1286347,061,38.50475311279297,-121.53817749023438,,,,1789776376
2026-09-19T00:06:43.179127+00:00,2241,1285143,023,38.63661193847656,-121.30854034423828,,,,1789776381
